"plot","class","area","areaha","sumA","per","area_mn","ca","clumpy","ed","np","e_a_ratio","HRU","HR_size","perc","density"
"T35P1",0,687,687,1024,67.08984375,229,687,0.489353672808793,44.3359375,3,0.0645355713245997,264.230769230769,2.6,"100%",0.258037860576923
"T35P2",0,611,611,1024,59.66796875,203.666666666667,611,0.43091836144419,53.22265625,3,0.0871074570376432,235,2.6,"100%",0.2294921875
"T35P3",0,715,715,1024,69.82421875,357.5,715,0.462933694588696,45.703125,2,0.0639204545454545,275,2.6,"100%",0.2685546875
"T35P4",0,436,436,1024,42.578125,18.1666666666667,436,0.422998114908614,56.0546875,24,0.128565797018349,167.692307692308,2.6,"100%",0.163762019230769
"T35P5",0,540,540,1024,52.734375,67.5,540,0.426527885561591,58.10546875,8,0.107602719907407,207.692307692308,2.6,"100%",0.202824519230769
"T3P1",0,667,667,1024,65.13671875,667,667,0.409326289017947,53.90625,1,0.0808189655172414,256.538461538462,2.6,"100%",0.250525841346154
"T3P2",0,612,612,1024,59.765625,153,612,0.402987049502985,55.37109375,4,0.0904756433823529,235.384615384615,2.6,"100%",0.229867788461538
"T3P3",0,524,524,1024,51.171875,74.8571428571429,524,0.390914171656687,60.15625,7,0.114802003816794,201.538461538462,2.6,"100%",0.196814903846154
"T3P4",0,427,427,1024,41.69921875,20.3333333333333,427,0.450784299164129,53.80859375,21,0.126015442037471,164.230769230769,2.6,"100%",0.160381610576923
"T3P5",0,675,675,1024,65.91796875,96.4285714285714,675,0.518518682036724,43.9453125,7,0.0651041666666667,259.615384615385,2.6,"100%",0.253530649038462
"T35P1",0,603,603,1024,58.88671875,150.75,603,0.539208837090796,46.484375,4,0.0770885157545605,231.923076923077,2.6,"90%",0.226487379807692
"T35P2",0,512,512,1024,50,85.3333333333333,512,0.468302658486708,54.58984375,6,0.106620788574219,196.923076923077,2.6,"90%",0.192307692307692
"T35P3",0,632,632,1024,61.71875,316,632,0.541295825832394,46.09375,2,0.0729331487341772,243.076923076923,2.6,"90%",0.237379807692308
"T35P4",0,390,390,1024,38.0859375,19.5,390,0.469622303691704,51.07421875,20,0.13095953525641,150,2.6,"90%",0.146484375
"T35P5",0,473,473,1024,46.19140625,52.5555555555556,473,0.493152945058571,53.3203125,9,0.112727933403805,181.923076923077,2.6,"90%",0.177659254807692
"T3P1",0,572,572,1024,55.859375,81.7142857142857,572,0.483237516956269,53.61328125,7,0.0937295126748252,220,2.6,"90%",0.21484375
"T3P2",0,525,525,1024,51.26953125,87.5,525,0.44609537800701,55.76171875,6,0.106212797619048,201.923076923077,2.6,"90%",0.197190504807692
"T3P3",0,446,446,1024,43.5546875,40.5454545454545,446,0.421978227998745,58.3984375,11,0.130938200672646,171.538461538462,2.6,"90%",0.167518028846154
"T3P4",0,362,362,1024,35.3515625,15.0833333333333,362,0.464820164509229,51.07421875,24,0.141089002071823,139.230769230769,2.6,"90%",0.135967548076923
"T3P5",0,603,603,1024,58.88671875,100.5,603,0.57076987564622,44.921875,6,0.0744973051409619,231.923076923077,2.6,"90%",0.226487379807692
"T35P1",0,511,511,1024,49.90234375,102.2,511,0.58073690601732,44.82421875,5,0.0877186276908024,196.538461538462,2.6,"80%",0.191932091346154
"T35P2",0,450,450,1024,43.9453125,75,450,0.529547607528084,48.2421875,6,0.107204861111111,173.076923076923,2.6,"80%",0.169020432692308
"T35P3",0,557,557,1024,54.39453125,111.4,557,0.59683581681806,43.1640625,5,0.077493828545781,214.230769230769,2.6,"80%",0.209209735576923
"T35P4",0,295,295,1024,28.80859375,12.2916666666667,295,0.422948874800727,48.73046875,24,0.165188029661017,113.461538461538,2.6,"80%",0.110802283653846
"T35P5",0,412,412,1024,40.234375,45.7777777777778,412,0.51705773837845,49.70703125,9,0.120648134101942,158.461538461538,2.6,"80%",0.154747596153846
"T3P1",0,532,532,1024,51.953125,177.333333333333,532,0.527256157517327,50.1953125,3,0.0943520911654135,204.615384615385,2.6,"80%",0.199819711538462
"T3P2",0,463,463,1024,45.21484375,115.75,463,0.524011624851961,48.6328125,4,0.105038471922246,178.076923076923,2.6,"80%",0.173903245192308
"T3P3",0,430,430,1024,41.9921875,53.75,430,0.4583816979905,54.4921875,8,0.12672601744186,165.384615384615,2.6,"80%",0.161508413461538
"T3P4",0,351,351,1024,34.27734375,20.6470588235294,351,0.50274799047602,46.97265625,17,0.133825231481481,135,2.6,"80%",0.1318359375
"T3P5",0,528,528,1024,51.5625,66,528,0.611625678696902,41.69921875,8,0.0789757930871212,203.076923076923,2.6,"80%",0.198317307692308
"T35P1",0,474,474,1024,46.2890625,94.8,474,0.641641190667739,38.18359375,5,0.0805561049578059,182.307692307692,2.6,"70%",0.178034855769231
"T35P2",0,382,382,1024,37.3046875,38.2,382,0.546169601211683,43.45703125,10,0.113761861910995,146.923076923077,2.6,"70%",0.143479567307692
