"plot","class","area","areaha","sumA","per","HRU","HR_size","ret_strat","perc_ret","transect"
"T15P1",0,2354,23.54,10000,23.54,23.54,1,"control","100%","lowele"
"T15P2",0,3071,30.71,10000,30.71,30.71,1,"control","100%","lowele"
"T15P3",0,1157,11.57,10000,11.57,11.57,1,"control","100%","lowele"
"T15P4",0,1602,16.02,10000,16.02,16.02,1,"control","100%","lowele"
"T15P5",0,3113,31.13,10000,31.13,31.13,1,"control","100%","lowele"
"T1P1",0,3116,31.16,10000,31.16,31.16,1,"control","100%","lowele"
"T1P2",0,4660,46.6,10000,46.6,46.6,1,"control","100%","lowele"
"T1P3",0,3306,33.06,10000,33.06,33.06,1,"control","100%","lowele"
"T1P4",0,696,6.96,10000,6.96,6.96,1,"control","100%","lowele"
"T1P5",0,1286,12.86,10000,12.86,12.86,1,"control","100%","lowele"
"T25P1",0,6318,63.18,10000,63.18,63.18,1,"control","100%","midele"
"T25P2",0,7088,70.88,10000,70.88,70.88,1,"control","100%","midele"
"T25P3",0,8686,86.86,10000,86.86,86.86,1,"control","100%","midele"
"T25P4",0,8101,81.01,10000,81.01,81.01,1,"control","100%","midele"
"T25P5",0,8466,84.66,10000,84.66,84.66,1,"control","100%","midele"
"T2P1",0,6135,61.35,10000,61.35,61.35,1,"control","100%","midele"
"T2P2",0,8709,87.09,10000,87.09,87.09,1,"control","100%","midele"
"T2P3",0,2228,22.28,10000,22.28,22.28,1,"control","100%","midele"
"T2P4",0,6236,62.36,10000,62.36,62.36,1,"control","100%","midele"
"T2P5",0,7609,76.09,10000,76.09,76.09,1,"control","100%","midele"
"T35P1",0,6395,63.95,10000,63.95,63.95,1,"control","100%","highele"
"T35P2",0,6447,64.47,10000,64.47,64.47,1,"control","100%","highele"
"T35P3",0,7417,74.17,10000,74.17,74.17,1,"control","100%","highele"
"T35P4",0,3828,38.28,10000,38.28,38.28,1,"control","100%","highele"
"T35P5",0,5807,58.07,10000,58.07,58.07,1,"control","100%","highele"
"T3P1",0,6159,61.59,10000,61.59,61.59,1,"control","100%","highele"
"T3P2",0,6680,66.8,10000,66.8,66.8,1,"control","100%","highele"
"T3P3",0,5065,50.65,10000,50.65,50.65,1,"control","100%","highele"
"T3P4",0,3891,38.91,10000,38.91,38.91,1,"control","100%","highele"
"T3P5",0,6529,65.29,10000,65.29,65.29,1,"control","100%","highele"
"T15P1",0,2354,23.54,10000,23.54,9.05384615384615,2.6,"control","100%","lowele"
"T15P2",0,3071,30.71,10000,30.71,11.8115384615385,2.6,"control","100%","lowele"
"T15P3",0,1157,11.57,10000,11.57,4.45,2.6,"control","100%","lowele"
"T15P4",0,1602,16.02,10000,16.02,6.16153846153846,2.6,"control","100%","lowele"
"T15P5",0,3113,31.13,10000,31.13,11.9730769230769,2.6,"control","100%","lowele"
