"plot","ID","area","feed_ha","HR_size","ret_strat","perc_ret","transect","feeding_total","feed_area_ratio"
"T15P1",1,3.05,1.02,1,"control","100%","lowele",23.54,33.4426229508197
"T15P1",2,3.505,1.03,1,"control","100%","lowele",23.54,29.3865905848787
"T15P1",3,3.83,0.97,1,"control","100%","lowele",23.54,25.3263707571802
"T15P1",4,2.68,1.14,1,"control","100%","lowele",23.54,42.5373134328358
"T15P1",5,4.77,1.13,1,"control","100%","lowele",23.54,23.6897274633124
"T15P1",6,2.825,1.45,1,"control","100%","lowele",23.54,51.3274336283186
"T15P1",7,4.015,0.8,1,"control","100%","lowele",23.54,19.9252801992528
"T15P1",8,1.91,0.26,1,"control","100%","lowele",23.54,13.6125654450262
"T15P1",9,1.215,0.63,1,"control","100%","lowele",23.54,51.8518518518518
"T15P1",10,4.55,1.47,1,"control","100%","lowele",23.54,32.3076923076923
"T15P1",11,2.995,0.68,1,"control","100%","lowele",23.54,22.7045075125209
"T15P1",12,3.205,1.28,1,"control","100%","lowele",23.54,39.9375975039002
"T15P1",13,3.23,0.97,1,"control","100%","lowele",23.54,30.030959752322
"T15P1",14,2.43,0.65,1,"control","100%","lowele",23.54,26.7489711934156
"T15P1",15,3.49,0.96,1,"control","100%","lowele",23.54,27.5071633237822
"T15P1",16,2.655,1.03,1,"control","100%","lowele",23.54,38.7947269303202
"T15P1",17,3.44,1.42,1,"control","100%","lowele",23.54,41.2790697674419
"T15P1",18,3.3,1.21,1,"control","100%","lowele",23.54,36.6666666666667
"T15P1",19,2.405,1.17,1,"control","100%","lowele",23.54,48.6486486486487
"T15P1",20,2.645,0.84,1,"control","100%","lowele",23.54,31.758034026465
"T15P1",21,2.99,0.81,1,"control","100%","lowele",23.54,27.0903010033445
"T15P1",22,1.625,0.9,1,"control","100%","lowele",23.54,55.3846153846154
"T15P1",23,3.62,0.97,1,"control","100%","lowele",23.54,26.7955801104972
