"perc","class","area","areaha","sumA","per","HRU","HR_size","agg"
"10%",0,1024,10.24,10000,10.24,3.93846153846154,2.6,"disp"
"20%",0,2051,20.51,10000,20.51,7.88846153846154,2.6,"disp"
"30%",0,2986,29.86,10000,29.86,11.4846153846154,2.6,"disp"
"40%",0,3851,38.51,10000,38.51,14.8115384615385,2.6,"disp"
"50%",0,4834,48.34,10000,48.34,18.5923076923077,2.6,"disp"
"60%",0,5930,59.3,10000,59.3,22.8076923076923,2.6,"disp"
"70%",0,6906,69.06,10000,69.06,26.5615384615385,2.6,"disp"
"80%",0,8116,81.16,10000,81.16,31.2153846153846,2.6,"disp"
"90%",0,8916,89.16,10000,89.16,34.2923076923077,2.6,"disp"
"10%",0,880,8.8,10000,8.8,3.38461538461538,2.6,"agg"
"20%",0,1899,18.99,10000,18.99,7.30384615384615,2.6,"agg"
"30%",0,3197,31.97,10000,31.97,12.2961538461538,2.6,"agg"
"40%",0,3989,39.89,10000,39.89,15.3423076923077,2.6,"agg"
"50%",0,5002,50.02,10000,50.02,19.2384615384615,2.6,"agg"
"60%",0,5980,59.8,10000,59.8,23,2.6,"agg"
"70%",0,6803,68.03,10000,68.03,26.1653846153846,2.6,"agg"
"80%",0,8033,80.33,10000,80.33,30.8961538461538,2.6,"agg"
"90%",0,9099,90.99,10000,90.99,34.9961538461538,2.6,"agg"
