"perc","ID","area","feed_ha","HR_size","agg","feeding_total","feed_area_ratio"
"10%",1,19.46,2,2.6,"disp",10.24,10.2774922918808
"10%",2,21.635,2.41,2.6,"disp",10.24,11.1393575225329
"10%",3,26.02,2.92,2.6,"disp",10.24,11.2221368178324
"10%",4,20.81,2.91,2.6,"disp",10.24,13.9836617011052
"20%",1,11.645,2.78,2.6,"disp",20.51,23.8729068269644
"20%",2,10.285,2.38,2.6,"disp",20.51,23.1404958677686
"20%",3,14.15,3.63,2.6,"disp",20.51,25.6537102473498
"20%",4,9.69,1.91,2.6,"disp",20.51,19.7110423116615
"20%",5,11.61,2.44,2.6,"disp",20.51,21.0163652024117
"20%",6,10.95,2,2.6,"disp",20.51,18.2648401826484
"20%",7,12.22,3.08,2.6,"disp",20.51,25.2045826513912
"20%",8,10.16,2.29,2.6,"disp",20.51,22.5393700787402
"30%",1,7.335,2.58,2.6,"disp",31.97,35.1738241308793
"30%",2,9.02,3.13,2.6,"disp",31.97,34.7006651884701
"30%",3,7.9,2.88,2.6,"disp",31.97,36.4556962025316
"30%",4,8.2,2.69,2.6,"disp",31.97,32.8048780487805
"30%",5,8.585,2.9,2.6,"disp",31.97,33.7798485730926
"30%",6,8.44,2.47,2.6,"disp",31.97,29.2654028436019
"30%",7,8.18,2.64,2.6,"disp",31.97,32.2738386308068
"30%",8,7.535,2.46,2.6,"disp",31.97,32.6476443264764
"30%",9,6.675,2.37,2.6,"disp",31.97,35.5056179775281
"30%",10,8.325,2.81,2.6,"disp",31.97,33.7537537537538
"30%",11,9.525,2.93,2.6,"disp",31.97,30.761154855643
"40%",1,5.935,2.49,2.6,"disp",39.89,41.9545071609099
"40%",2,6.35,2.81,2.6,"disp",39.89,44.251968503937
"40%",3,6.485,2.84,2.6,"disp",39.89,43.7933693138011
"40%",4,5.365,2.67,2.6,"disp",39.89,49.767008387698
"40%",5,6.725,2.88,2.6,"disp",39.89,42.8252788104089
"40%",6,6.67,2.9,2.6,"disp",39.89,43.4782608695652
"40%",7,5.74,2.38,2.6,"disp",39.89,41.4634146341463
"40%",8,5.76,2.51,2.6,"disp",39.89,43.5763888888889
"40%",9,6.355,2.75,2.6,"disp",39.89,43.273013375295
"40%",10,4.65,1.92,2.6,"disp",39.89,41.2903225806452
"40%",11,6.46,2.55,2.6,"disp",39.89,39.4736842105263
"40%",12,6.775,2.8,2.6,"disp",39.89,41.3284132841328
"40%",13,5.06,2.53,2.6,"disp",39.89,50
"40%",14,5.43,2.44,2.6,"disp",39.89,44.9355432780847
"40%",15,5.96,2.04,2.6,"disp",39.89,34.2281879194631
"50%",1,4.145,1.98,2.6,"disp",50.02,47.7683956574186
"50%",2,4.61,2.68,2.6,"disp",50.02,58.1344902386117
"50%",3,4.13,2.2,2.6,"disp",50.02,53.2687651331719
"50%",4,5.045,2.64,2.6,"disp",50.02,52.3290386521308
"50%",5,4.775,2.42,2.6,"disp",50.02,50.6806282722513
"50%",6,3.535,1.85,2.6,"disp",50.02,52.3338048090523
"50%",7,4.995,2.55,2.6,"disp",50.02,51.051051051051
"50%",8,5.195,2.95,2.6,"disp",50.02,56.7853705486044
